cepages;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Chasselas;1875;1833;1824;1788;1773;1740;1715;1693;1675;1648;1619;1557;1431;1339;1238;1164;1110;1072;1051;1033;1014;994;966;945;914;879;849;823;803;795;782;768
Pinot noir;1732;1769;1777;1790;1800;1821;1836;1847;1850;1837;1827;1804;1784;1779;1768;1755;1730;1713;1694;1673;1646;1624;1597;1562;1519;1476;1445;1412;1387;1366;1338;1302
Gamay;984;981;981;980;976;973;967;960;953;933;911;882;844;823;792;769;745;723;705;687;674;654;623;608;589;573;554;534;520;507;492;474
Sylvaner/Rhin;271;242;240;226;220;214;209;205;203;204;205;205;209;211;215;223;230;233;236;238;240;241;242;246;250;258;270;281;291;300;307;314
Pinot Gris;52;51;52;51;52;52;52;52;52;55;57;58;61;67;70;73;75;75;75;76;75;75;74;74;72;69;67;65;65;63;62;59
Chardonnay;46;52;53;57;58;60;60;60;61;62;64;66;66;69;71;72;72;71;71;70;69;69;68;69;71;72;73;72;72;71;70;69
Humagne rouge;44;49;50;53;55;56;59;60;62;65;69;75;84;99;108;115;121;125;128;129;130;134;135;138;141;141;142;143;143;143;142;142
Arvine;39;44;45;46;49;52;55;56;61;65;71;82;100;115;130;138;145;150;153;156;157;166;165;177;186;196;211;218;226;234;243;252
Syrah;19;27;29;34;37;41;46;51;55;62;71;91;117;132;146;152;156;157;158;160;160;162;160;166;169;170;170;171;174;174;172;173
Cornalin;14;19;19;23;25;28;30;32;34;38;40;53;68;79;89;99;106;113;116;120;122;128;129;135;139;145;149;150;153;155;157;161
Savagnin blanc;14;15;15;15;15;16;17;18;18;20;22;24;30;40;50;58;68;75;80;86;92;97;108;121;140;157;171;188;200;208;211;212
Merlot;1;2;2;2;3;3;4;5;5;7;9;16;27;38;55;64;78;85;87;89;92;94;102;106;113;124;134;139;141;143;144;145
Ameliorateurs;6;10;12;15;17;23;26;30;33;46;59;84;110;137;163;177;193;209;220;229;233;241;256;261;256;263;269;274;275;272;270;267
Difference;169;175;164;181;179;182;183;188;191;196;201;213;262;252;264;278;285;291;296;296;297;297;316;298;316;319;321;325;333;333;330;337